,city,st_short,st_long,county,city_alias
1569,Las Piedras,PR,Puerto Rico,LAS PIEDRAS,URB Las Campinas Ii
1570,Las Piedras,PR,Puerto Rico,LAS PIEDRAS,Las Piedras
1571,Las Piedras,PR,Puerto Rico,LAS PIEDRAS,Ext La Inmaculada
1572,Las Piedras,PR,Puerto Rico,LAS PIEDRAS,Paseo De Los Artesanos
1573,Las Piedras,PR,Puerto Rico,LAS PIEDRAS,URB Olimpic Cts
1574,Las Piedras,PR,Puerto Rico,LAS PIEDRAS,URB Olimpic Pk
1575,Las Piedras,PR,Puerto Rico,LAS PIEDRAS,URB Las Campinas I
1576,Las Piedras,PR,Puerto Rico,LAS PIEDRAS,URB Las Campinas Iii
1577,Las Piedras,PR,Puerto Rico,LAS PIEDRAS,URB Olivia Pk
1578,Las Piedras,PR,Puerto Rico,LAS PIEDRAS,URB Olympic Ville
1579,Las Piedras,PR,Puerto Rico,LAS PIEDRAS,Repto Arenales
1580,Las Piedras,PR,Puerto Rico,LAS PIEDRAS,Villa Las Mercedes
1581,Las Piedras,PR,Puerto Rico,LAS PIEDRAS,Villas De San Cristobal Ii
1582,Las Piedras,PR,Puerto Rico,LAS PIEDRAS,Jard De Oriente
1583,Las Piedras,PR,Puerto Rico,LAS PIEDRAS,Mans De Las Piedras
1584,Las Piedras,PR,Puerto Rico,LAS PIEDRAS,Mans De Los Artesanos
1585,Las Piedras,PR,Puerto Rico,LAS PIEDRAS,URB La Inmaculada
1586,Las Piedras,PR,Puerto Rico,LAS PIEDRAS,Ext Las Mercedes
1587,Las Piedras,PR,Puerto Rico,LAS PIEDRAS,URB April Gdns
1588,Las Piedras,PR,Puerto Rico,LAS PIEDRAS,URB Palma Royale
1589,Las Piedras,PR,Puerto Rico,LAS PIEDRAS,Colinas De San Agustin
1590,Las Piedras,PR,Puerto Rico,LAS PIEDRAS,Villas De San Cristobal
1591,Loiza,PR,Puerto Rico,LOIZA,Jard De Loiza
1592,Loiza,PR,Puerto Rico,LOIZA,Sect Villa Canona
1593,Loiza,PR,Puerto Rico,LOIZA,Vistas Del Oceano
1594,Loiza,PR,Puerto Rico,LOIZA,Loiza
1595,Loiza,PR,Puerto Rico,LOIZA,URB Santiago
1596,Luquillo,PR,Puerto Rico,LUQUILLO,Brisas De Luquillo
1597,Luquillo,PR,Puerto Rico,LUQUILLO,Brisas Del Mar
1598,Luquillo,PR,Puerto Rico,LUQUILLO,Hacienda Paloma
